#accessoryName	accessoryProject	Cat	Mfg	www
CoPilot RI	copilot_ri	Platform Integration / Autonomy	VideoRay	www.videoray.com
CoPilot Sonar	copilot_sonar	Platform Integration / Autonomy	VideoRay	www.videoray.com
#CoPilot Survey	copilot_survey	Platform Integration / Autonomy	VideoRay	www.videoray.com
#
#External Camera	external_camera	Imagery Support and Enhancement	VideoRay	www.videoray.com
Zoom Camera	outland_zoom_camera	Imagery Support and Enhancement	VideoRay	www.videoray.com
#GoPro HD Camera Kit	gopro	Imagery Support and Enhancement	VideoRay	www.videoray.com
#HD Camera	hd_camera	Imagery Support and Enhancement	VideoRay	www.videoray.com
Hawk Visibility Enhancement	lyyn_hawk	Imagery Support and Enhancement	Lyyn	www.lyyn.com
#Helios Visibility Enhancement	inuktun_helios	Imagery Support and Enhancement	Inuktun Services	www.inuktun.com
#LACE Visibility Enhancement	tno_lace	Imagery Support and Enhancement	TNO	www.tno.nl
#
Rotating Manipulator	rotating_manipulator	Intervention	VideoRay	www.videoray.com
Manipulator	manipulator	Intervention	VideoRay	www.videoray.com
Cutter	cutter	Intervention	VideoRay	www.videoray.com
Water Sampler	water_sampler	Intervention	VideoRay	www.videoray.com
#
#Hull Inspection Stabilizer	hull_inspection	Propulsion	VideoRay	www.videoray.com
#Lateral Thruster	lateral	Propulsion	VideoRay	www.videoray.com
#Microtrac Crawler	inuktun_microtrac	Propulsion	Inuktun Services	www.inuktun.com
#
Teledyne BlueView Sonar	blueview_sonar	Sonar Systems	Teledyne BlueView	www.blueview.com
Gemini Imaging Sonar	tritech_gemini_sonar	Sonar Systems	Tritech International	tritech.co.uk
Micron Scanning Sonar	tritech_micron_sonar	Sonar Systems	Tritech International	tritech.co.uk
#
KCF Smart Tether	kcf_smart_tether	Position Tracking Systems	KCF Technologies	www.smarttether.com
Micron Echosounder	tritech_micron_echo	Position Tracking Systems	Tritech International	tritech.co.uk
Micron Nav	tritech_micron_nav	Position Tracking Systems	Tritech International	tritech.co.uk
#RDI DVL	rdi_dvl	Position Tracking Systems	Teledyne RD Instruments	www.rdinstruments.com/
#ROV GPS Antenna	rov_gps	Position Tracking Systems	VideoRay	www.videoray.com
#AquaMap Seafloor	desert_star_seafloor	Position Tracking Systems	Desert Star Systems	www.desertstar.com/
#AquaMap Shiphull	desert_star_shiphull	Position Tracking Systems	Desert Star Systems	www.desertstar.com/
#Pilot (Desert Star)	desert_star_pilot	Position Tracking Systems	Desert Star Systems	www.desertstar.com/
#
#C3 Fluorometer	turner_c3	Sensors	Turner Designs	www.turnerdesigns.com
Cathodic Protection Probe	buckleys_cp_probe	Sensors	Buckley's	www.buckleys.co.uk
#Laser Scaling Device	laser_scaling	Sensors	VideoRay	www.videoray.com
METS Methane Sensor	franatech_mets	Sensors	Franatech	www.franatech.com
#PhytoFlash Fluorometer	turner_phytoflash	Sensors	Turner Designs	www.turnerdesigns.com
Radiation Sensor	rad_sensor	Sensors	VideoRay	www.videoray.com
Ultrasonic Thickness Gauge	cygnus_ut	Sensors	Cygnus Instruments	www.cygnus-instruments.com/us/
600XL Sonde	ysi_600xl	Sensors	YSI	www.ysi.com
#
PAM	pam	Adapter Modules	VideoRay	www.videoray.com
#TINA	tina	Adapter Modules	VideoRay	www.videoray.com
#
#Protective Frame	buccaneer_frame	Miscellaneous	Buccaneer	www.buccaneer-ltd.co.uk/
